,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
9,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
15,La Libertad,EC,75.13,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
16,Kismayo,SO,78.94,broken clouds,-0.3582,42.5454,Agan-Hotel
18,Karratha,AU,89.13,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
20,Butaritari,KI,80.65,moderate rain,3.0707,172.7902,Isles Sunset Lodge
21,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
24,Japura,ID,83.44,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
28,Jacqueville,CI,80.6,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
31,Atuona,PF,81.21,overcast clouds,-9.8,-139.0333,Villa Enata
34,Rikitea,PF,79.45,clear sky,-23.1203,-134.9692,Pension Maro'i
39,Avarua,CK,84.2,broken clouds,-21.2078,-159.775,Paradise Inn
43,Saint-Philippe,RE,75.2,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Nichlaul,IN,76.12,clear sky,27.3167,83.7333,Karan Manes Parler
48,Benjamin Hill,MX,75.0,clear sky,30.1667,-111.1,Luis Guillermo García Medina
51,Puerto Ayora,EC,79.0,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
52,Gushikawa,JP,78.8,overcast clouds,26.3544,127.8686,Kirari Guest House
55,Chum Phae,TH,85.03,overcast clouds,16.5443,102.0992,Major Grand
60,Bengkulu,ID,76.82,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
70,Kaduqli,SD,76.93,clear sky,11.0167,29.7167,فندق الله جابو
72,Padang,ID,77.0,broken clouds,-0.9492,100.3543,Mercure Padang
73,Am Timan,TD,81.91,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
75,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
76,Hithadhoo,MV,83.5,overcast clouds,-0.6,73.0833,Scoop Guest House
78,Coolum Beach,AU,82.0,scattered clouds,-26.5333,153.1,Palmer Coolum Resort
88,Bambous Virieux,MU,75.99,scattered clouds,-20.3428,57.7575,Casa Tia Villa
97,Anloga,GH,82.4,few clouds,5.7947,0.8973,Pin Drop Hotel
107,Puerto Carreno,CO,80.76,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
110,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
112,Port-Gentil,GA,81.07,broken clouds,-0.7193,8.7815,Fengshui Residence
116,Amahai,ID,77.4,light rain,-3.3333,128.9167,HOTEL ISABELA
122,Tura,IN,85.37,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
129,Payo,ID,77.16,overcast clouds,-3.7508,103.6372,Mess keban agung
132,Kwinana,AU,78.01,clear sky,-32.25,115.7667,Rockingham Apartments
134,Buala,SB,84.99,light rain,-8.145,159.5921,Maringe Lagoon Lodge
135,Sumenep,ID,84.31,scattered clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
146,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
148,Siparia,TT,75.0,overcast clouds,10.1333,-61.5,Brook Gardens
150,Blackwater,AU,87.3,clear sky,-23.5833,148.8833,Blackwater Motor Inn
160,Geraldton,AU,77.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
161,Arraial Do Cabo,BR,77.49,clear sky,-22.9661,-42.0278,Pousada Porto Praia
169,Mandiana,GN,79.09,overcast clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
172,Vao,NC,78.31,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
173,Kulhudhuffushi,MV,82.51,overcast clouds,6.6221,73.07,Haajy Guest House 1
182,Tiruchchendur,IN,78.8,haze,8.4833,78.1167,Hotel Udhayam International
189,Sibolga,ID,83.05,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
190,Puri,IN,75.2,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
191,Kinablangan,PH,83.03,heavy intensity rain,7.6947,126.5503,Danny Moreno Property
194,Bandarbeyla,SO,77.34,scattered clouds,9.4942,50.8122,JABIR HOTEL
197,Hambantota,LK,75.2,scattered clouds,6.1241,81.1185,Bungalow 63
198,Saint-Pierre,RE,75.2,few clouds,-21.3393,55.4781,Lindsey Hôtel
204,Perth,AU,77.0,clear sky,-31.9333,115.8333,Beatty Lodge
205,Port Blair,IN,85.01,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
207,Sinnamary,GF,76.53,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
208,Manali,IN,78.8,mist,13.1667,80.2667,Sarathy Lodge
217,Biak,ID,82.42,light rain,-0.9131,122.8766,Penginapan Kim
218,Koumac,NC,82.35,scattered clouds,-20.5667,164.2833,Le Monitel
219,Malakal,SS,80.69,clear sky,9.5334,31.6605,Nile Palace Hotel
220,Djibo,BF,77.56,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
222,Fare,PF,82.36,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
231,Port Hedland,AU,89.6,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
232,Sao Jose Da Coroa Grande,BR,76.05,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
236,Samarai,PG,84.78,broken clouds,-10.6167,150.6667,Nuli Sapi
240,Georgetown,MY,84.0,few clouds,5.4112,100.3354,Cititel Penang
245,Dhidhdhoo,MV,81.95,overcast clouds,6.8833,73.1,Dhidhoo beach
248,Muisne,EC,76.06,broken clouds,0.6,-80.0333,Quinta Samay
251,Yulara,AU,82.4,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
252,Balikpapan,ID,79.14,moderate rain,-1.2675,116.8289,ibis Balikpapan
254,San Patricio,US,75.99,haze,28.017,-97.5169,"Motel 6 Sinton, TX"
260,Sompeta,IN,83.82,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
265,Baracoa,CU,76.66,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
268,Touros,BR,77.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
271,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
275,Victoria,HK,78.01,few clouds,22.2855,114.1577,Mini Hotel Central
293,Mersing,MY,75.2,scattered clouds,2.4312,103.8405,Timotel Hotel
