City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kijang,KR,2021-03-28 01:40:47,35.2442,129.2139,60.8,67,75,10.36,broken clouds
1,Kaitangata,NZ,2021-03-28 01:40:47,-46.2817,169.8464,64.0,79,100,11.01,moderate rain
2,New Norfolk,AU,2021-03-28 01:40:48,-42.7826,147.0587,64.0,39,75,10.0,broken clouds
3,Kapaa,US,2021-03-28 01:40:48,22.0752,-159.319,78.8,73,20,14.97,few clouds
4,Novi Ligure,IT,2021-03-28 01:40:48,44.7608,8.7896,51.01,83,96,3.4,overcast clouds
5,Tuktoyaktuk,CA,2021-03-28 01:40:49,69.4541,-133.0374,-11.2,77,40,5.75,scattered clouds
6,Hermanus,ZA,2021-03-28 01:40:49,-34.4187,19.2345,57.0,83,18,3.0,few clouds
7,Bilibino,RU,2021-03-28 01:40:50,68.0546,166.4372,-0.22,78,6,2.1,clear sky
8,Redmond,US,2021-03-28 01:40:50,47.674,-122.1215,54.0,70,100,2.17,overcast clouds
9,Vaini,TO,2021-03-28 01:38:19,-21.2,-175.2,86.0,74,40,9.22,light rain
10,Luderitz,NA,2021-03-28 01:40:51,-26.6481,15.1594,63.25,68,0,10.76,clear sky
11,Jamestown,US,2021-03-28 01:36:22,42.097,-79.2353,57.2,47,1,4.94,clear sky
12,Bluff,NZ,2021-03-28 01:38:31,-46.6,168.3333,62.01,84,100,5.01,light rain
13,Fairbanks,US,2021-03-28 01:36:40,64.8378,-147.7164,26.6,63,90,10.36,overcast clouds
14,Ballyshannon,IE,2021-03-28 01:40:52,54.5,-8.1833,48.0,94,100,7.0,light rain
15,La Libertad,EC,2021-03-28 01:40:52,-2.2333,-80.9,75.13,81,44,5.19,scattered clouds
16,Kismayo,SO,2021-03-28 01:40:52,-0.3582,42.5454,78.94,78,73,10.07,broken clouds
17,Khorixas,NA,2021-03-28 01:40:53,-20.3667,14.9667,69.37,51,4,2.37,clear sky
18,Karratha,AU,2021-03-28 01:40:53,-20.7377,116.8463,89.13,47,42,2.42,scattered clouds
19,Ushuaia,AR,2021-03-28 01:37:53,-54.8,-68.3,53.6,47,20,25.32,light rain
20,Butaritari,KI,2021-03-28 01:38:36,3.0707,172.7902,80.65,80,67,12.01,moderate rain
21,Alofi,NU,2021-03-28 01:40:54,-19.0595,-169.9187,84.2,79,15,18.41,light rain
22,Pisco,PE,2021-03-28 01:32:03,-13.7,-76.2167,68.0,77,0,11.5,clear sky
23,Marsa Matruh,EG,2021-03-28 01:37:01,31.3525,27.2453,57.2,47,40,4.61,scattered clouds
24,Japura,ID,2021-03-28 01:40:54,-0.3167,102.35,83.44,71,91,2.68,overcast clouds
25,Busselton,AU,2021-03-28 01:40:55,-33.65,115.3333,73.0,58,0,4.0,clear sky
26,Castro,BR,2021-03-28 01:38:37,-24.7911,-50.0119,64.29,90,100,1.1,light rain
27,El Dorado,US,2021-03-28 01:40:55,38.7666,-120.5177,66.0,39,1,3.44,clear sky
28,Jacqueville,CI,2021-03-28 01:40:56,5.2052,-4.4146,80.6,89,0,5.75,clear sky
29,Kamenka,RU,2021-03-28 01:40:56,51.3223,42.7678,34.0,86,100,8.59,overcast clouds
30,Ixtapa,MX,2021-03-28 01:36:57,20.7,-105.2,73.4,68,75,11.5,broken clouds
31,Atuona,PF,2021-03-28 01:40:56,-9.8,-139.0333,81.21,76,100,20.09,overcast clouds
32,Aklavik,CA,2021-03-28 01:40:57,68.2191,-135.0107,-7.6,59,100,9.22,overcast clouds
33,Champerico,GT,2021-03-28 01:40:57,14.3,-91.9167,72.0,86,37,5.55,scattered clouds
34,Rikitea,PF,2021-03-28 01:38:21,-23.1203,-134.9692,79.45,72,0,18.28,clear sky
35,Baykit,RU,2021-03-28 01:40:58,61.67,96.37,26.82,94,98,1.74,overcast clouds
36,Saskylakh,RU,2021-03-28 01:40:58,71.9167,114.0833,-2.9,97,99,0.6,overcast clouds
37,Port Alfred,ZA,2021-03-28 01:40:58,-33.5906,26.891,61.34,78,69,6.53,light rain
38,Albany,US,2021-03-28 01:34:03,42.6001,-73.9662,48.0,62,9,1.07,clear sky
39,Avarua,CK,2021-03-28 01:40:59,-21.2078,-159.775,84.2,74,75,19.57,broken clouds
40,Rawlins,US,2021-03-28 01:40:59,41.7911,-107.2387,44.6,33,1,14.97,clear sky
41,Nanortalik,GL,2021-03-28 01:38:32,60.1432,-45.2371,18.66,61,100,7.05,overcast clouds
42,College,US,2021-03-28 01:41:00,64.8569,-147.8028,26.6,54,75,13.8,light snow
43,Saint-Philippe,RE,2021-03-28 01:38:19,-21.3585,55.7679,75.2,83,75,4.61,broken clouds
44,Nichlaul,IN,2021-03-28 01:41:00,27.3167,83.7333,76.12,15,0,4.5,clear sky
45,Kropotkin,RU,2021-03-28 01:41:01,45.4375,40.5756,41.0,77,100,17.85,light rain
46,Nouadhibou,MR,2021-03-28 01:41:01,20.931,-17.0347,64.4,88,0,14.97,clear sky
47,Acari,PE,2021-03-28 01:41:01,-15.4311,-74.6158,73.99,71,8,3.18,clear sky
48,Benjamin Hill,MX,2021-03-28 01:41:02,30.1667,-111.1,75.0,14,0,3.0,clear sky
49,Kodiak,US,2021-03-28 01:41:02,57.79,-152.4072,35.6,38,1,24.16,clear sky
50,Saryg-Sep,RU,2021-03-28 01:41:02,51.5,95.6,23.45,75,100,2.77,overcast clouds
51,Puerto Ayora,EC,2021-03-28 01:38:17,-0.7393,-90.3518,79.0,90,97,1.99,overcast clouds
52,Gushikawa,JP,2021-03-28 01:41:03,26.3544,127.8686,78.8,78,90,18.41,overcast clouds
53,Korla,CN,2021-03-28 01:41:03,41.7597,86.1469,54.37,52,27,6.44,scattered clouds
54,Bethpage,US,2021-03-28 01:41:04,40.7443,-73.4821,53.6,58,1,12.66,clear sky
55,Chum Phae,TH,2021-03-28 01:41:04,16.5443,102.0992,85.03,58,99,2.17,overcast clouds
56,Ponta Do Sol,PT,2021-03-28 01:41:04,32.6667,-17.1,64.4,88,75,19.57,broken clouds
57,Mangan,IN,2021-03-28 01:41:05,27.5167,88.5333,74.52,17,0,0.34,clear sky
58,Tiksi,RU,2021-03-28 01:41:05,71.6872,128.8694,8.65,92,99,2.46,overcast clouds
59,Vallenar,CL,2021-03-28 01:41:05,-28.5708,-70.7581,66.2,57,0,2.13,clear sky
60,Bengkulu,ID,2021-03-28 01:38:24,-3.8004,102.2655,76.82,83,100,6.62,overcast clouds
61,Mar Del Plata,AR,2021-03-28 01:38:25,-38.0023,-57.5575,61.0,100,90,20.71,light rain
62,Hobart,AU,2021-03-28 01:36:01,-42.8794,147.3294,64.0,51,75,17.27,broken clouds
63,General Pico,AR,2021-03-28 01:36:22,-35.6566,-63.7568,54.1,89,37,5.95,scattered clouds
64,Tahta,EG,2021-03-28 01:41:06,26.7693,31.5021,53.49,57,0,17.72,clear sky
65,Lavrentiya,RU,2021-03-28 01:41:07,65.5833,-171.0,-1.32,85,97,1.59,overcast clouds
66,Cape Town,ZA,2021-03-28 01:41:07,-33.9258,18.4232,62.01,82,0,1.14,clear sky
67,Saint George,US,2021-03-28 01:37:30,37.1041,-113.5841,68.0,17,1,3.83,clear sky
68,Lensk,RU,2021-03-28 01:41:08,60.7253,114.9278,24.57,87,100,6.53,overcast clouds
69,Kruisfontein,ZA,2021-03-28 01:41:08,-34.0033,24.7314,57.99,79,57,3.94,broken clouds
70,Kaduqli,SD,2021-03-28 01:41:08,11.0167,29.7167,76.93,14,0,14.58,clear sky
71,Cherskiy,RU,2021-03-28 01:41:09,68.75,161.3,4.84,75,24,4.54,few clouds
72,Padang,ID,2021-03-28 01:41:09,-0.9492,100.3543,77.0,94,75,6.91,broken clouds
73,Am Timan,TD,2021-03-28 01:38:26,11.0297,20.2827,81.91,32,50,8.01,scattered clouds
