City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-03-26 23:17:46,42.6001,-73.9662,57.2,54,90,29.93
1,Ha Tinh,VN,2021-03-26 23:16:32,18.3333,105.9,71.17,96,96,2.37
2,Kununurra,AU,2021-03-26 23:16:02,-15.7667,128.7333,80.6,100,57,3.44
3,Yellowknife,CA,2021-03-26 23:13:02,62.456,-114.3525,18.0,66,20,9.22
4,Vaini,TO,2021-03-26 23:17:47,-21.2,-175.2,84.2,74,40,10.36
5,Kurchum,KZ,2021-03-26 23:17:47,48.5722,83.6542,20.35,87,100,3.2
6,Rikitea,PF,2021-03-26 23:17:47,-23.1203,-134.9692,79.2,72,1,17.74
7,Mao,ES,2021-03-26 23:17:48,39.8885,4.2658,55.4,94,0,6.91
8,Jojoima,SL,2021-03-26 23:17:48,7.8792,-10.7878,75.97,88,34,3.62
9,Walvis Bay,NA,2021-03-26 23:17:48,-22.9575,14.5053,62.01,94,36,2.3
10,Namibe,AO,2021-03-26 23:17:49,-15.1961,12.1522,73.2,84,94,8.43
11,Rio Piracicaba,BR,2021-03-26 23:17:49,-19.9292,-43.1742,68.56,91,28,1.36
12,Katsuura,JP,2021-03-26 23:17:49,35.1333,140.3,55.0,54,0,8.05
13,Atar,MR,2021-03-26 23:16:07,20.5169,-13.0499,81.66,11,7,5.68
14,Luwuk,ID,2021-03-26 23:17:50,-0.9516,122.7875,75.97,96,100,2.73
15,Dikson,RU,2021-03-26 23:17:50,73.5069,80.5464,-12.86,100,100,10.02
16,Ribeira Grande,PT,2021-03-26 23:17:51,38.5167,-28.7,57.83,60,21,6.73
17,Rocha,UY,2021-03-26 23:17:51,-34.4833,-54.3333,66.15,97,78,4.16
18,Cockburn Town,TC,2021-03-26 23:17:51,21.4612,-71.1419,78.8,69,40,13.8
19,Ellensburg,US,2021-03-26 23:17:52,46.9965,-120.5479,57.2,33,1,27.63
20,Peniche,PT,2021-03-26 23:17:52,39.3558,-9.3811,53.01,82,39,5.99
21,Hermanus,ZA,2021-03-26 23:17:53,-34.4187,19.2345,63.0,89,30,5.01
22,Port Augusta,AU,2021-03-26 23:17:53,-32.5,137.7667,64.4,82,40,5.75
23,Provideniya,RU,2021-03-26 23:17:53,64.3833,-173.3,5.86,87,100,14.0
24,Geraldton,AU,2021-03-26 23:17:54,-28.7667,114.6,59.0,88,3,11.5
